model,algorithm,error_code,TpbSgCyclesSum,Tensorizer (sec),Layout (sec),BackendDriver (sec),production_total (sec),maxrss (gb),subgraphs,HLO instr.,Layout instr.,Tiling instr.,Backend instr.,num_operators,num_edges,Layout operator cost,Layout transpose cost,Layout (operator+transpose+IO) cost,Layout DMA cost,Layout D2D cost,num_layout_transposes,estimated_non_local_tensors,num_pf_transposes,num_nonlocal_tensors,num_io_transposes
test_ctc_aed_b24_seq512_my,naive,0,,227,12,,1,,6,1046,171085582,906438,,1689,2591,334565658,22055405,356621063,0,0,1519,0,560,0,245
test0_vnc_large_mms_b2b_8_bf16_with_qor_1024_1024_1024_my,naive,0,243140304,1,0,0,2,0.1,1,,303111,1241,2471,9,8,361020,16531,377551,0,0,1,0,0,0,1
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_104f3b8d8de051cd1359_ddc7ece8_my,naive,0,760707177,12,1,2,14,0.3,1,365,922034,11829,19602,46,75,1599324,791114,2390438,0,0,24,0,18,0,1
test_mvp_bs_1_seq_2048_token_generation_model_MODULE_2424e0422aff88341d00_ca2ddd81_my,naive,0,820814057,8,1,1,11,0.2,1,258,650405,9295,18950,62,104,6153027,31399,6184426,0,0,37,0,35,0,3
test_cnn_my,naive,0,957733777,13,1,1,15,0.4,1,308,936253,3216,12072,63,58,924830,322759,1247589,0,0,32,0,14,0,9
test_plbart_base_bs_1_seq_2048_token_generation_model_MODULE_5d78beba9567f362dd38_4ef8e11c_my,naive,0,1044855612,17,2,2,19,0.2,1,610,725895,9875,19786,163,273,9909038,69713,9978751,0,0,99,0,93,0,7
test_plbart_base_bs_1_seq_128_MODULE_d4199b6be85baaea92f8_10f349c5_my,naive,0,1060603741,17,3,2,20,0.2,1,650,726357,9903,19674,162,272,9956178,69744,10025922,0,0,98,0,92,0,7
test_plbart_base_bs_1_seq_128_MODULE_d187234b27dd2803f697_d4c90616_my,naive,0,1068684229,17,3,2,20,0.2,1,650,726357,9903,19674,162,272,9956178,69744,10025922,0,0,98,0,92,0,7
test_plbart_base_bs_1_seq_128_MODULE_dbab4bbda239ab75fd20_c1db6888_my,naive,0,1071619146,17,3,2,20,0.2,1,650,726357,9903,19674,162,272,9956178,69744,10025922,0,0,98,0,92,0,7
test_granite_3_1_3b_a800m_instruct_bs_1_seq_2048_token_generation_model_MODULE_cc546ccec49df0c32569_2fb76326_my,naive,0,1154402531,7,1,2,10,0.2,1,390,1345163,14642,29639,89,118,1616646,20033,1636679,0,0,28,0,26,0,3
test_granite_3_1_3b_a800m_instruct_bs_1_seq_2048_token_generation_model_MODULE_61cfffaa70a773ce9a3f_96f51408_my,naive,0,1673291509,13,3,4,17,0.3,1,720,2096499,20023,40325,174,235,2375640,39739,2415379,0,0,54,0,50,0,5
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_4bdb0fde4195fcc2858c_7234f84b_my,naive,0,1814349685,9,1,2,11,0.2,1,319,801438,9396,36381,37,59,2093011,1152822,3245833,0,0,17,0,15,0,1
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_557fb7b94870f5bdd462_06132d5c_my,naive,0,1815183946,9,1,2,11,0.2,1,319,801438,9396,36381,37,59,2093011,1152822,3245833,0,0,17,0,15,0,1
test_mvp_bs_1_seq_2048_token_generation_model_MODULE_75c7e4cedb7fa45aac3a_a5fd4e20_my,naive,0,1821375201,8,1,2,10,0.2,1,228,638824,9289,36007,55,89,6817675,30584,6848259,0,0,32,0,30,0,3
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_de83ced4dbc2aa1dd7e8_f5f1a8f9_my,naive,0,1885341259,11,1,2,13,0.3,1,346,874471,9619,37220,42,67,2188597,1193991,3382588,0,0,23,0,16,0,2
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_7eeaacaae5a48fa08bf7_666af8d4_my,naive,0,1917010370,40,10,4,46,0.4,1,1725,3240474,36679,46386,206,355,4666224,985554,5651778,0,0,104,0,78,0,1
test_sshleifer_distilbart_cnn_6_6_type_auto_bs_4_seq_128_MODULE_17627513587828894802_plus_e30acd3a_my,naive,0,2236492811,14,2,3,17,0.2,1,572,3952641,14879,32656,93,174,5027509,1889331,6916840,0,0,144,0,44,0,99
test_facebook_bart_base_type_auto_bs_2_seq_384_MODULE_16273610656918386787_plus_e30acd3a_my,naive,0,2379302009,15,2,3,19,0.3,1,572,4456547,15094,32890,93,174,5731944,1287215,7019159,0,0,139,0,38,0,100
