model,algorithm,error_code,TpbSgCyclesSum,Tensorizer (sec),Layout (sec),BackendDriver (sec),production_total (sec),maxrss (gb),subgraphs,HLO instr.,Layout instr.,Tiling instr.,Backend instr.,num_operators,num_edges,Layout operator cost,Layout transpose cost,Layout (operator+transpose+IO) cost,Layout DMA cost,num_layout_transposes,estimated_non_local_tensors,num_pf_transposes,num_nonlocal_tensors,num_io_transposes
test_ctc_aed_b24_seq512_my,greedy,0,,173,3,,1,,6,1046,148405090,560094,,1689,2591,400000000313593471,18325559,400000000331919030,0,1431,0,496,1,248
test0_vnc_large_mms_b2b_8_bf16_with_qor_1024_1024_1024_my,greedy,0,242939595,1,0,0,2,0.1,1,,303111,1241,2471,9,8,361020,16531,377551,0,1,0,0,0,1
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_104f3b8d8de051cd1359_ddc7ece8_my,greedy,0,748633587,11,0,1,13,0.3,1,365,845162,9274,18948,46,75,1501474,775723,2277197,0,24,0,18,0,1
test_mvp_bs_1_seq_2048_token_generation_model_MODULE_2424e0422aff88341d00_ca2ddd81_my,greedy,0,782217286,8,0,2,10,0.2,1,258,616089,9105,18854,62,104,6154316,25788,6180104,0,18,0,16,0,3
test_cnn_my,greedy,0,965123569,14,0,1,16,0.4,1,308,850456,2694,10281,63,58,1061178,346184,1407362,0,34,0,8,0,14
test_plbart_base_bs_1_seq_128_MODULE_dbab4bbda239ab75fd20_c1db6888_my,greedy,0,974953294,14,1,2,16,0.2,1,650,669153,9384,19537,162,272,9959955,60307,10020262,0,49,0,43,0,7
test_plbart_base_bs_1_seq_128_MODULE_d4199b6be85baaea92f8_10f349c5_my,greedy,0,980318856,14,1,2,16,0.2,1,650,669153,9384,19537,162,272,9959955,60307,10020262,0,49,0,43,0,7
test_plbart_base_bs_1_seq_2048_token_generation_model_MODULE_5d78beba9567f362dd38_4ef8e11c_my,greedy,0,1055366030,13,1,2,16,0.2,1,610,668691,9356,19650,163,273,9912815,60464,9973279,0,50,0,44,0,7
test_granite_3_1_3b_a800m_instruct_bs_1_seq_2048_token_generation_model_MODULE_cc546ccec49df0c32569_2fb76326_my,greedy,0,1145684920,7,2,2,11,0.2,1,390,1327306,14445,29526,89,118,1616228,14904,1631132,0,20,0,18,0,3
test_granite_3_1_3b_a800m_instruct_bs_1_seq_2048_token_generation_model_MODULE_61cfffaa70a773ce9a3f_96f51408_my,greedy,0,1674037916,14,4,4,18,0.3,1,720,2063926,19634,40044,174,235,2374374,29808,2404182,0,40,0,36,0,5
test_mvp_bs_1_seq_2048_token_generation_model_MODULE_75c7e4cedb7fa45aac3a_a5fd4e20_my,greedy,0,1790016797,7,0,2,10,0.2,1,228,612636,9125,35891,55,89,6818608,26788,6845396,0,16,0,14,0,3
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_557fb7b94870f5bdd462_06132d5c_my,greedy,0,1808773412,9,0,2,11,0.2,1,319,797582,9240,35819,37,59,2082523,1171228,3253751,0,19,0,13,0,1
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_4bdb0fde4195fcc2858c_7234f84b_my,greedy,0,1814021836,9,0,2,11,0.2,1,319,797582,9240,35819,37,59,2082523,1171228,3253751,0,19,0,13,0,1
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_de83ced4dbc2aa1dd7e8_f5f1a8f9_my,greedy,0,1828714280,10,0,2,13,0.3,1,346,810920,9268,35897,42,67,2094690,1171665,3266355,0,20,0,14,0,1
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_7eeaacaae5a48fa08bf7_666af8d4_my,greedy,0,1883676307,32,2,4,36,0.4,1,1725,2844622,21724,43033,206,355,4115034,899183,5014217,0,104,0,78,0,1
test_sshleifer_distilbart_cnn_6_6_type_auto_bs_4_seq_128_MODULE_17627513587828894802_plus_e30acd3a_my,greedy,0,2252100944,12,1,3,16,0.2,1,572,3853037,14781,32270,93,174,4877247,1878158,6755405,0,139,0,38,0,100
test_mvp_bs_1_seq_2048_token_generation_model_MODULE_75437bbaaed9d2ad5d58_b9573dac_my,greedy,0,2366737004,23,2,4,27,0.3,1,1268,1668529,21015,42997,322,544,33627316,152878,33780194,0,98,0,86,0,13
test_mvp_bs_1_seq_128_MODULE_37d56c9e4b50a1f3aa88_cb431220_my,greedy,0,2367314132,23,2,4,27,0.3,1,1256,1669416,20992,42955,318,536,33618349,152693,33771042,0,97,0,85,0,13
test_mvp_bs_1_seq_128_MODULE_dd083db1cbd03a998776_874bef0b_my,greedy,0,2377007966,23,2,4,27,0.3,1,1256,1669416,20992,42955,318,536,33618349,152693,33771042,0,97,0,85,0,13
test_facebook_bart_base_type_auto_bs_2_seq_384_MODULE_16273610656918386787_plus_e30acd3a_my,greedy,0,2380552151,14,1,3,18,0.3,1,572,4345919,15094,32890,93,174,5582058,1277723,6859781,0,139,0,38,0,100
test_xlm_roberta_base_type_auto_bs_2_seq_256_MODULE_3714715883677202631_plus_e30acd3a_my,greedy,0,2951221994,27,1,4,32,0.3,1,1098,5814295,19203,41780,178,338,7424440,2434319,9858759,0,273,0,76,0,196
test_Ministral_4b_instruct_bs_1_seq_2048_token_generation_model_MODULE_dc8db8974489f60bb5ee_a64ca25e_my,greedy,0,3351218602,6,2,5,12,0.3,1,327,3242865,27477,54284,70,100,4510729,478444,4989173,0,22,0,16,0,2
test_OLMoE_1B_7B_0924_bs_1_seq_2048_token_generation_model_MODULE_d5c347ef54de68e3addc_75386316_my,greedy,0,3617491827,10,1,4,15,0.3,1,648,4716365,29288,51284,169,238,44730687,57370,44788057,0,29,0,24,0,4
test_OLMoE_1B_7B_0924_bs_1_seq_2048_token_generation_model_MODULE_aa3ecf3d5bd783c49bfe_a85a317e_my,greedy,0,3619490878,10,1,4,15,0.3,1,648,4716365,29288,51284,169,238,44730687,57370,44788057,0,29,0,24,0,4
test_Qwen3_Next_80B_A3B_Instruct_bs_1_seq_2048_token_generation_model_MODULE_1956641ecef5aa67f05a_a655083c_my,greedy,0,4159886572,9,1,6,16,0.4,1,590,4027463,34783,71230,133,190,5245210,17684,5262894,0,40,0,36,0,4
test_Qwen3_Next_80B_A3B_Instruct_bs_1_seq_2048_token_generation_model_MODULE_7c88d3bb8aef2249f299_a8970a31_my,greedy,0,4164389301,10,1,6,17,0.4,1,590,4027463,34783,71230,133,190,5245210,17684,5262894,0,40,0,36,0,4
